date,sentiment,sent_scale,sent_ES
2018-05-01,0.535713242496,0.426364137782,0.501074904081
2018-05-02,0.498033632029,-0.327600670624,0.499554268055
2018-05-03,0.469477837717,-0.898998934053,0.484516052886
2018-05-04,0.503975820017,-0.208698150866,0.494245936452
2018-05-05,0.56856179546,1.08366002367,0.531403865956
2018-05-06,0.599889213733,1.71051817382,0.565646539844
2018-05-07,0.487606935037,-0.536237716043,0.526626737441
2018-05-08,0.456290219175,-1.16288171213,0.491458478308
2018-05-09,0.484991179954,-0.588578683875,0.488224829131
2018-05-10,0.51795931253,0.0711099767196,0.50309207083
2018-05-11,0.604520384732,1.80318738966,0.553806227781
2018-05-12,0.566615996591,1.04472480504,0.560211112186
2018-05-13,0.550205916427,0.716360928835,0.555208514307
2018-05-14,0.462809656644,-1.03242849457,0.509009085475
2018-05-15,0.450589229277,-1.27695788498,0.479799157376
2018-05-16,0.470213677609,-0.884274859785,0.475006417492
2018-05-17,0.448812206354,-1.31251591573,0.461909311923
2018-05-18,0.491164906744,-0.465043098486,0.476537109334
2018-05-19,0.592034480458,1.5533458359,0.534285794896
2018-05-20,0.528645772466,0.284944849713,0.531465783681
